Part,NCode,Branch,DateTime,Type,OP,Description
610398,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Traditional P.V.C low voltage vehicle wiring cables
610398,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,P.VC insulation / sheath with plain copper conductor   Generally for use at -30'C to + 70'C - 12 & 24V systems (MAX 100V)    Resistant to petrol&#44 lubricating oils & diluted acids     More commonly found in vehicles pre 1995
610398,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610398,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Stranding - 4 x 14/0.30                             Conductor - (mm2) 4 x 1.0                          Amperage - 8.75                                     Overall Diameter (mm) - 8.1           Sheath colour - Black                             Core colours - Brown&#44 Green&#44 Red & White                                                           Reel size - 30 metres
610403,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,400ml Aerosol
610403,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610403,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Suitable for all surfaces.<br/>Smear-free cleaning anti-static action.
610415,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Traditional P.V.C low voltage vehicle wiring cables
610415,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,P.VC insulation / sheath with plain copper conductor   Generally for use at -30'C to + 70'C - 12 & 24V systems (MAX 100V)    Resistant to petrol&#44 lubricating oils & diluted acids     More commonly found in vehicles pre 1995
610415,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610415,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Stranding - 5 x 14/0.30                             Conductor - (mm2) 5 x 1.0                          Amperage - 8.75                                     Overall Diameter (mm) - 8.9            Sheath colour - Black                             Core colours - Brown&#44 Green&#44 Red&#44 White & Yellow                                                     Reel size - 30 metres
610416,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,7 core trailer cable.
610416,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610416,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Conductors: Plain copper.<br/>PVC insulated.<br/>Sheathed: 70c.<br/>Manufactured in accordance with BS6862 Prt 1 1971 (where applicable).
610440,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Originally developed for the aviation industry and now widely used in both marine and transport applications.
610440,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A long lasting corrosion inhibitor to protect against electrolytic action.<br/>
610440,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610442,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Originally developed for the aviation industry and now widely used in both marine and transport applications.
610442,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A long lasting corrosion inhibitor to protect against electrolytic action.<br/>
610442,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610446,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Originally developed for the aviation industry and now widely used in both marine and transport applications.
610446,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Duralac Green has an improved environmental footprint and exceeds standard Duralac in performance
610446,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A long lasting corrosion inhibitor to protect against electrolytic action.<br/>
610446,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610470,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Battery welding cable.<br/>Single insulated multi-strand.<br/>Highly flexible.<br/>Resistant to petrol&#44 lubricating oils and diluted acids.
610470,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610470,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Conductors: Plain copper.<br/>PVC insulated: -30°c - 70°c.<br/>Amp rating: 170Amps.
610472,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A quality Battery / Starter Cable ideal for car uses
610472,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Single core battery & welding cables. Highly Flexible whilst remaining seriously durable<br/>Copper conductor with P.V.C insulation&#44 (resistant to oils&#44 petrol&#44 diesel&#44 lubes & a range of diluted acids)<br/>Manufactured in accordance to CE&#44 ROHS&#44 ISO  & EN numbers where applicable<br/>Easy to strip for speedy stress free usage.<br/>
610472,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610472,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Conductor - (mm2) 196/0.40                        Amperage - 170                                    Overall Diameter (mm) - 9.7           Sheath colour - Black                                                                         Reel size - 10 metres
610500,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Specially Formulated to defrost windscreens
610500,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Powerful and fast acting. Melts Ice Fast Spray operates down to -15 degrees C.
610500,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,12
610680,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For the bridging of large holes in vehicle bodywork. To be used in conjunction with Tetrosyl Polyester Resin.
610680,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610688,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,5 Ltr Tin Laminating Resin
610688,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610688,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Conforms to UN 1866
610689,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A multipurpose resin with controllable setting time for mouldings&#44 fabricating and repairs steel&#44 alloy
610689,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610900,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,U-POL B polyester filler can be used on the following surfaces:-<br/>- Bare steel&#44 degrease and abrade with P80 paper.<br/>- Original paint surfaces (with the exception of thermoplastic acrylics) degrease and abrade withP180 grit paper.<br/>- GRP degrease and abrade with P80 grit paper.<br/>Drying Time: Sandable after 20 mins. at 20ºC.<br/>Over Painting: U-POL B polyester glass fibre filler can be over-painted with most paint systems including 2K.<br/>Ideally a full system is recommended including primer.
610900,HINTS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The EU limit for this product (product category: IIBb) in ready to use form is 250g/litre.<br/>The VOC content of this product in ready to use form is 100g/litre.
610900,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,U-POL B polyester glass fibre filler is a two component chemical paste used for the bridging of holes and rust in surfaces such as steel and GRP.<br/>U-POL B form a very hard durable surface and can be sanded and shaped if required. It is easily covered with standard polyester filler or can be over-painted directly.
610900,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
610900,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100 parts by weight U-POL B polyester filler&#44<br/>3-4 parts by weight U-POL BPO hardener for polyester filler.<br/>The exact mixing ratio is not critical&#44 although over or under catalyzation may affect the gel time. Do not greatly over catalyze the paste as this will not significantly speed up the gel time and could lead to bleed through and bleaching problems when over-painting later. Staining may also occure where too little hardener is used.<br/>Pot Life: Once mixed&#44 5 - 6 mins. at 20ºC with 4% hardener.
612-100,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Heat resistant up to 300°c.
612-100,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
612234,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,It is extremely useful in many situations.
612234,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The handy 6 volt spotlight offers a low cost&#44 <br/>one stop option and is the perfect choice where several spotlights are required
612234,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The lighthouse HT996 is a handy high-power Krypton spotlight<br/>with 60 Lumens and a tough ABS casing that is both water and impact resistant<br/><br/>Fitted with a high power Krypton bulb and complete with a heavy-duty 6 volt battery&#44 this spotlight is ready for use in seconds.
612234,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
612234,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Wrist strap included.<br/>Dimensions: 182 x 125 x 112mm.<br/>Battery life up to 6 hours
612262,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,2
612286,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Provides a economical power source for low-drain devices.<br/>Continuous supply of low power&#44 an ideal choice for products that don't draw a lot of power such as radios&#44 remote controls&#44 wall clocks&#44 LED torches and battery powered toys.
612286,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
620-100,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Heat resistant up to 300°c.
620-100,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
620212,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,InstantAir couplings are suitable for most fixed compressed air applications&#44 although swivel adaptors are recommended for trailing hose applications.
620212,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bayonet type couplings&#44 preventing accidental disconnection<br/>Range of swivel or non-swivel adaptors<br/>Heavy duty large bore version available<br/>High temperature version available on request<br/>Nominal Bore: 5.6 mm
620212,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
620214,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,InstantAir couplings are suitable for most fixed compressed air applications&#44 although swivel adaptors are recommended for trailing hose applications.
620214,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bayonet type couplings&#44 preventing accidental disconnection<br/>Range of swivel or non-swivel adaptors<br/>Heavy duty large bore version available<br/>High temperature version available on request<br/>Nominal Bore: 5.6 mm
620214,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
626568,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
626568,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,black
626568,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Unbreakable mirror head E11 IV & V 03*8012
626568,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
626568,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Mirror Dimensions: 245 x 162mm Mirror Lens: 236 x 151mm         Mirror Body: ABS Clamp: Glass filled nylon
626624,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
626624,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,black
626624,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Main Mirror Class II
626624,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
626624,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Mirror Dimensions: 383 x 193mm Glass: 362 x 174mm            Mirror Body: ABS Clamp: Glass filled nylon
626630,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
626630,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Yellow
626630,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Main Mirror Class II&#44 III
626630,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
626630,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Mirror Dimensions: 390 x 190mm Glass: 381 x 182mm            Mirror Body: ABS Clamp: Glass filled nylon
626655,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
626655,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,black
626655,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Unbreakable mirror head E11 II&#44 III & IV 048173
626655,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
626655,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Main Lens raduis 1200mm Wide angle lens radius 300mm
630209,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use on mild steel&#44 iron&#44 sheet steel & high grade steel
630209,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
630209,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Cutting discs are manufactured to European safety standards and marked with EN12413
630210,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
630214,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use on mild steel&#44 iron&#44 sheet steel & high grade steel
630214,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
630214,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Cutting discs are manufactured to European safety standards and marked with EN12413
630218,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use on mild steel&#44 iron&#44 sheet steel & high grade steel
630218,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
630218,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Cutting discs are manufactured to European safety standards and marked with EN12413
630219,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,80 x 15mm Inox Mounted Wire Brush Wheel
630219,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
630219,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Face width: 15mm<br/>Max. perm speed: 12000RPM<br/>Overall length: 50mm<br/>Recom. Speed: 7800RPM<br/>Trim length 19mm
630220,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
630225,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Available for both metal & stone applications
630225,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
630225,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Cutting discs are manufactured to European safety standards and marked with EN12413
630226,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Available for both metal & stone applications
630226,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
630226,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Cutting discs are manufactured to European safety standards and marked with EN12413
630228,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Cutting and grinding of mild steel
630228,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Aluminium oxide&#44 reinforced fibre glass
630228,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Ideal for preparing&#44 cut-off notching and<br/>slotting and grinding out defects on a wide<br/>range of materials&#44 including ceramics&#44 mild<br/>steel&#44 aluminium&#44 titanium and nimonics
630228,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
630228,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Reinforced with woven fibre glass of the highest<br/>tensile strength enabling them to withstand<br/>severe peripheral&#44 side and edge stress.
630229,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
630230,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
630231,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use on mild steel&#44 iron&#44 sheet steel & high grade steel
630231,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
630231,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A superior quality European manufactured range of extra thin cutting discs produced to O.S.A. Safety standards                                                  Discs do not contain iron&#44 sulphur or chlorine so are suitable for stainless steel cutting applications
630232,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
630233,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use on mild steel&#44 iron&#44 sheet steel & high grade steel
630233,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Extremely fast and precise cutting with minimal effort required         Discs have been developed for precision cutting sheet metal and with strengthened core stability for reduced vibration
630233,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
630233,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A superior quality European manufactured range of extra thin cutting discs produced to O.S.A. Safety standards                                                  Discs do not contain iron&#44 sulphur or chlorine so are suitable for stainless steel cutting applications
630242,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use on mild steel&#44 iron&#44 sheet steel & high grade steel
630242,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Extremely fast and precise cutting with minimal effort required         Discs have been developed for precision cutting sheet metal and with strengthened core stability for reduced vibration
630242,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
630242,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A superior quality European manufactured range of extra thin cutting discs produced to O.S.A. Safety standards                                                  Discs do not contain iron&#44 sulphur or chlorine so are suitable for stainless steel cutting applications
630300,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
632562-100,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For connecting wood with metal&#44 sheet metal&#44 metal structures&#44 light fixings&#44 plastic dashboards.
632562-100,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Black chromated finish.<br/>Pan head flange for added tension.<br/>Surface-hardened steel.
632562-100,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
632562-100,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Pan head with Phillips drive&#44 black.
634238,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Adhesive backed nylon cable clips to keep cables safe & tidy
634238,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For cable up to diameter 8-12mm                                            Size - 25 x 25mm
634238,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
634245,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Adhesive backed nylon cable clips to keep cables safe & tidy
634245,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For cable up to diameter 11.5mm
634245,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634253,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Adhesive backed nylon cable clips to keep cables safe & tidy
634253,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For cable up to diameter 14mm
634253,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634254,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Adhesive backed nylon cable clips to keep cables safe & tidy
634254,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For cable up to diameter 6mm
634254,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
634260,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,12.7mm x 30mtr Large Spiral Rap Black
634260,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
634260,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Organises and protects cables and hoses<br/>Suitable for retro-fitting<br/>Cables branch out at any point<br/>
634264,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,6.4mm x 30mtr Small Spiral Rap Black
634264,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
634264,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Organises and protects cables and hoses<br/>Suitable for retro-fitting<br/>Cables branch out at any point<br/>
634274,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634274,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634274,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634276,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634276,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634276,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634278,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634278,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634278,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634280,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634280,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634280,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634282,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634282,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634282,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634283,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634283,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634283,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634284,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634284,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
634284,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634285,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634285,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
634285,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634286,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634286,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
634286,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634288,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634288,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
634288,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634290,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,38mm Metal P Clips Rubb. Lined
634290,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
634291,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634291,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
634291,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634292,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,42mm Metal P Clips Rubb. Lined
634292,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
634294,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634294,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
634294,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634295,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634295,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
634295,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634296,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,54mm Metal P Clips Rubb. Lined
634296,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
634298,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Tough and durable.<br/>Material: Mild steel – bright zinc plated and passivated.<br/>Standard Liner: TPE rubber (black).
634298,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
634298,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Service temperature -30 ?C to +60 ?C.
634301,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,64mm Metal P Clips Rubb. Lined
634301,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
