Part,NCode,Branch,DateTime,Type,OP,Description
0-331-13,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
0-331-17,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
0-331-22,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
0-333-06,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,5
0-333-09,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,5
0-333-19,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-333-25,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-378-13,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-447-11,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
0-452-18,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
0-562-12,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use with low pressure warning switches.
0-562-12,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,12 volt black case.<br/>single hole fixing<br/>two terminal.<br/>Loud and urgent tone: 90dB at 20cm.
0-562-12,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-603-00,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,On/off.<br/>Single pole switch.<br/>Nickel plated brass lever and 6.3mm blade terminals.<br/>13mm panel hole.<br/>10 amps at 28 volts dc rating.
0-603-00,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-607-34,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,4.8mm blade terminals.<br/>Snap fits into 20mm diameter panel hole.
0-607-34,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-607-34,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Colour: Green.
0-607-35,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,4.8mm blade terminals.<br/>Snap fits into 20mm diameter panel hole.
0-607-35,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-607-35,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Colour: Red.
0-668-03,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,LED downlighter for recessed or surface mounting.
0-668-03,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,12/24 volt in white plastic with detachable surface mount bezel.<br/>Incorporates a switch in the lamp lens.<br/>CE approved.
0-668-03,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-705-22,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,With 100mm lead.
